headshot_url,name,id,team,primary_color,secondary_color
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/5623?t=1768129628,Aaron Jones Sr.,5623,MIN,#4F2683,#FFC62F
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/5645?t=1768127374,Aaron Rodgers,5645,NYJ,#125740,#000000
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/7029?t=1768128912,A.J. Brown,7029,PHI,#004C54,#A5ACAF
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/6390?t=1768130043,Alvin Kamara,6390,NO,#D3BC8D,#101820
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/6070?t=1768129138,Austin Ekeler,6070,WAS,#5A1414,#FFB612
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/13359?t=1768129767,Bijan Robinson,13359,ATL,#A71930,#000000
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/12084?t=1768126817,Breece Hall,12084,NYJ,#125740,#000000
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/11960?t=1768130584,Brock Purdy,11960,SF,#AA0000,#B3995D
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/8698?t=1768128639,CeeDee Lamb,8698,DAL,#003594,#869397
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/11706?t=1768130050,Chris Olave,11706,NO,#D3BC8D,#101820
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/5107?t=1768130589,Christian McCaffrey,5107,SF,#AA0000,#B3995D
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/8752?t=1768129191,Cole Kmet,8752,CHI,#0B162A,#C83803
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/5980?t=1768130736,Cooper Kupp,5980,LAR,#003594,#FFA300
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/5419?t=1768128627,Dak Prescott,5419,DAL,#003594,#869397
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/6717?t=1768128922,Dallas Goedert,6717,PHI,#004C54,#A5ACAF
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/5405?t=1768127555,Dalton Schultz,5405,HOU,#03202F,#A71930
https://s3.amazonaws.com/clutchpoints-profile-pics/headshots/6632?t=1768126633,Darren Waller,6632,NYG,#0B2265,#A71930
